date,BAC,C,CNC,CSX,CVS,DAL,FIS,TFC,USB,WFC
20250527,44.22,75.47,57.65,31.43,61.34,49.4,79.96,40.03,43.74,73.99
20250528,44.06,75.03,55.93,31.34,62.45,48.6,79.97,39.34,43.23,73.73
20250529,44.24,75.53,56.52,31.42,62.78,48.5,78.27,39.6,43.76,74.51
20250530,44.13,75.32,56.44,31.59,64.04,48.39,79.61,39.5,43.59,74.78
20250602,44.08,75.8,54.91,31.24,63.6,48.5,79.09,39.23,43.62,74.72
20250603,44.65,76.53,55.37,31.86,63.59,48.83,80.14,39.62,44.38,75.65
20250604,44.36,76.4,54.94,31.93,63.57,48.98,80.34,39.51,43.9,75.38
20250605,44.38,76.67,54.84,31.74,63.08,48.84,80.54,39.63,43.68,74.9
20250606,44.97,78.26,55.16,32.23,63.58,50.95,81.23,40.66,44.77,76.33
20250609,44.87,78.17,55.76,31.98,63.86,51.2,81.69,40.45,44.87,76.46
20250610,45.09,78.03,55.51,32.61,64.26,51.68,81.1,40.73,45.24,75.45
20250611,44.73,78.38,55.27,32.32,65.72,49.17,81.06,40.26,44.2,74.93
20250612,44.62,78.23,55.38,32.39,66.35,48.88,80.82,39.94,44.16,74.01
20250613,44.09,76.36,55.22,32.12,67.46,47.04,79.35,38.97,42.99,72.36
20250616,44.41,78.07,54.68,32.56,67.71,49.46,80.94,39.39,43.15,73.15
20250617,44.23,77.36,54.91,32.12,67.09,47.32,80.44,39.03,42.69,72.5
20250618,45.06,78.35,55.15,32.24,66.84,47.56,80.44,39.81,43.27,74.74
20250620,45.5,78.45,54.4,32.06,66.57,47.2,80.17,40.28,43.29,75.4
20250623,46.3,79.36,53.4,32.42,66.81,48.25,80.5,41.05,44.09,77.01
20250624,46.66,81.14,54.05,32.48,67.58,49.56,82.13,41.45,44.54,78.11
20250625,46.85,82.63,53.51,32.49,66.37,48.31,80.73,41.4,44.82,79.07
20250626,47.46,84.37,53.57,32.57,68.14,48.97,80,42.54,45.62,79.96
20250627,47.12,84.38,53.99,32.91,68.49,49.59,80.8,42.61,45.76,79.5
20250630,47.32,85.12,54.28,32.63,68.98,49.18,81.41,42.99,45.25,80.12
20250701,48.15,86.27,56.65,33.47,69.58,49,82.35,44.2,46.49,81.49
20250702,48.71,86.76,33.78,33.61,66.6,50.13,81.27,45.03,47.49,82.36
20250703,48.93,88.72,33.31,33.6,67.43,50.86,81.77,45.54,47.93,83.6
20250707,0,0,-1,0,-1,0,0,0,-1,-1
